"1";"0";"0";;"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"2";"4";"48";"M";"100.3";"105.9";"15.1";"16.7";"17.5";"17.9";"18.8"
"3";"4";"49";"M";"100.9";"106.5";"15.1";"16.7";"17.5";"18.0";"18.8"
"4";"4";"50";"M";"101.4";"107.0";"15.1";"16.7";"17.5";"18.0";"18.9"
"5";"4";"51";"M";"101.9";"107.6";"15.1";"16.8";"17.5";"18.0";"18.9"
"6";"4";"52";"M";"102.5";"108.1";"15.1";"16.8";"17.6";"18.0";"19.0"
"7";"4";"53";"M";"103.0";"108.7";"15.1";"16.8";"17.6";"18.1";"19.0"
"8";"4";"54";"M";"103.5";"109.2";"15.1";"16.8";"17.6";"18.1";"19.1"
"9";"4";"55";"M";"104.0";"109.8";"15.1";"16.8";"17.6";"18.1";"19.1"
"10";"4";"56";"M";"104.6";"110.3";"15.1";"16.8";"17.6";"18.2";"19.2"
"11";"4";"57";"M";"105.1";"110.9";"15.1";"16.8";"17.7";"18.2";"19.2"
"12";"4";"58";"M";"105.6";"111.5";"15.1";"16.8";"17.7";"18.2";"19.3"
"13";"4";"59";"M";"106.2";"112.0";"15.1";"16.8";"17.7";"18.2";"19.3"
"14";"5";"60";"M";"106.7";"112.6";"15.1";"16.8";"17.7";"18.3";"19.4"
"15";"5";"61";"M";"107.2";"113.1";"15.1";"16.8";"17.7";"18.3";"19.5"
"16";"5";"62";"M";"107.7";"113.7";"15.1";"16.9";"17.8";"18.4";"19.5"
"17";"5";"63";"M";"108.2";"114.2";"15.1";"16.9";"17.8";"18.4";"19.6"
"18";"5";"64";"M";"108.7";"114.8";"15.1";"16.9";"17.8";"18.4";"19.6"
"19";"5";"65";"M";"109.2";"115.3";"15.1";"16.9";"17.9";"18.5";"19.7"
"20";"5";"66";"M";"109.8";"115.8";"15.1";"16.9";"17.9";"18.5";"19.8"
"21";"5";"67";"M";"110.3";"116.4";"15.1";"16.9";"17.9";"18.5";"19.8"
"22";"5";"68";"M";"110.8";"116.9";"15.1";"17.0";"17.9";"18.6";"19.9"
"23";"5";"69";"M";"111.3";"117.5";"15.1";"17.0";"18.0";"18.6";"19.9"
"24";"5";"70";"M";"111.8";"118.0";"15.1";"17.0";"18.0";"18.6";"20.0"
"25";"5";"71";"M";"112.3";"118.6";"15.1";"17.0";"18.0";"18.7";"20.1"
"26";"6";"72";"M";"112.8";"119.1";"15.1";"17.0";"18.1";"18.8";"20.2"
"27";"6";"73";"M";"113.3";"119.6";"15.1";"17.1";"18.1";"18.8";"20.3"
"28";"6";"74";"M";"113.8";"120.2";"15.1";"17.1";"18.2";"18.9";"20.4"
"29";"6";"75";"M";"114.3";"120.7";"15.1";"17.2";"18.2";"19.0";"20.4"
"30";"6";"76";"M";"114.8";"121.3";"15.2";"17.2";"18.3";"19.0";"20.5"
"31";"6";"77";"M";"115.3";"121.8";"15.2";"17.2";"18.4";"19.1";"20.6"
"32";"6";"78";"M";"115.8";"122.3";"15.2";"17.3";"18.4";"19.2";"20.7"
"33";"6";"79";"M";"116.3";"122.8";"15.2";"17.3";"18.5";"19.2";"20.8"
"34";"6";"80";"M";"116.8";"123.4";"15.2";"17.4";"18.5";"19.3";"20.9"
"35";"6";"81";"M";"117.3";"123.9";"15.2";"17.4";"18.6";"19.4";"21.0"
"36";"6";"82";"M";"117.8";"124.4";"15.3";"17.5";"18.7";"19.5";"21.1"
"37";"6";"83";"M";"118.3";"124.9";"15.3";"17.5";"18.7";"19.5";"21.2"
"38";"7";"84";"M";"118.8";"125.4";"15.3";"17.6";"18.8";"19.6";"21.4"
"39";"7";"85";"M";"119.2";"126.0";"15.3";"17.6";"18.9";"19.7";"21.5"
"40";"7";"86";"M";"119.7";"126.5";"15.4";"17.7";"19.0";"19.8";"21.6"
"41";"7";"87";"M";"120.2";"127.0";"15.4";"17.8";"19.0";"19.9";"21.7"
"42";"7";"88";"M";"120.7";"127.5";"15.4";"17.8";"19.1";"20.0";"21.8"
"43";"7";"89";"M";"121.2";"128.0";"15.5";"17.9";"19.2";"20.1";"22.0"
"44";"7";"90";"M";"121.6";"128.5";"15.5";"17.9";"19.3";"20.2";"22.1"
"45";"7";"91";"M";"122.1";"129.0";"15.5";"18.0";"19.4";"20.3";"22.2"
"46";"7";"92";"M";"122.6";"129.5";"15.6";"18.1";"19.4";"20.4";"22.3"
"47";"7";"93";"M";"123.0";"130.0";"15.6";"18.1";"19.5";"20.5";"22.4"
"48";"7";"94";"M";"123.5";"130.4";"15.6";"18.2";"19.6";"20.5";"22.6"
"49";"7";"95";"M";"124.0";"130.9";"15.6";"18.2";"19.7";"20.6";"22.7"
"50";"8";"96";"M";"124.4";"131.4";"15.7";"18.3";"19.8";"20.7";"22.8"
"51";"8";"97";"M";"124.9";"131.9";"15.7";"18.4";"19.9";"20.8";"22.9"
"52";"8";"98";"M";"125.3";"132.4";"15.8";"18.5";"20.0";"20.9";"23.0"
"53";"8";"99";"M";"125.8";"132.8";"15.8";"18.5";"20.0";"21.0";"23.2"
"54";"8";"100";"M";"126.3";"133.3";"15.9";"18.6";"20.1";"21.1";"23.3"
"55";"8";"101";"M";"126.7";"133.8";"15.9";"18.7";"20.2";"21.2";"23.4"
"56";"8";"102";"M";"127.2";"134.3";"15.9";"18.8";"20.3";"21.3";"23.5"
"57";"8";"103";"M";"127.6";"134.7";"16.0";"18.9";"20.4";"21.5";"23.6"
"58";"8";"104";"M";"128.0";"135.2";"16.0";"18.9";"20.5";"21.6";"23.8"
