Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,87,0.07332293291731684,1.0,2.0,0.4808843244463787,24.8,4.0,1.4,19.4,4.0,10.2,813.0,13091.0,7.0,8.0,106.0,123.3,133.2,0.1634241245136186,0.0549828178694158,0.7854545454545455,0.1709401709401709,0.4098939929328621,0.5263157894736842,0.2173913043478261,7.0,8.0,18553
1,88,0.07330677290836651,1.0,3.0,0.536663823292044,25.7,4.1,1.4,19.8,5.0,10.5,823.0,21918.0,7.0,8.0,106.0,124.5,134.5,0.1610486891385767,0.055,0.7727272727272727,0.1838235294117647,0.4054054054054054,0.5284974093264249,0.2369668246445497,7.0,8.0,18562
1,89,0.07597027250206456,1.0,3.0,0.5054191662970279,25.7,4.1,1.4,19.7,5.0,10.4,820.0,19257.0,7.0,9.0,108.0,124.6,134.8,0.1608695652173913,0.0546218487394958,0.7734375,0.1831501831501831,0.4054054054054054,0.5284974093264249,0.2366863905325444,7.0,9.0,27653
1,90,0.05434782608695654,1.0,2.0,0.4912406758993479,25.2,4.1,1.4,19.9,4.0,10.5,825.0,8965.0,7.0,8.0,102.0,124.9,132.5,0.16279861036495824,0.0549450549450549,0.7838827838827838,0.1709401709401709,0.4112149532710281,0.529126213592233,0.2197802197802197,7.0,8.0,1452
1,91,0.08333333333333326,1.0,2.0,0.4849687677143596,26.1,4.2,1.5,20.1,5.0,10.6,828.0,9363.0,7.0,9.0,113.0,125.3,136.3,0.160919540229885,0.0545454545454545,0.7703703703703704,0.1851851851851851,0.4044943820224719,0.53,0.2369668246445497,7.0,9.0,7037
1,92,0.08688961073539592,1.0,2.0,0.3708204050361109,25.1,4.1,1.4,19.8,4.0,10.5,822.0,8966.0,7.0,9.0,114.0,124.3,136.1,0.1638655462184874,0.0560344827586206,0.7881896910898161,0.1687763713080168,0.4155251141552512,0.529126213592233,0.2144787533781841,7.0,9.0,3054
1,93,0.06227284026533031,1.0,3.0,0.5348360088917015,26.5,4.3,1.5,20.7,5.0,11.0,845.0,13306.0,7.0,9.0,110.0,126.9,135.8,0.1619718309859155,0.0553633217993079,0.7773437499999999,0.1777777777777777,0.4112903225806451,0.5327102803738318,0.2281368821292775,7.0,9.0,15938
1,94,0.06398104265402837,1.0,3.0,0.5285271575526322,27.0,4.3,1.5,20.8,5.0,11.1,847.0,23509.0,7.0,9.0,110.0,127.3,136.2,0.1614173228346456,0.0551470588235294,0.7761194029850746,0.1809954751131221,0.4110032362459547,0.5336538461538461,0.2325581395348837,7.0,9.0,19761
1,95,0.06279439494213768,1.0,3.0,0.545297881719505,27.0,4.4,1.5,21.2,4.0,11.4,855.0,13494.0,7.0,9.0,111.0,128.0,136.9,0.1641221374045801,0.0561797752808988,0.7906137184115524,0.1659751037344398,0.4193548387096774,0.5352112676056338,0.2105263157894736,7.0,9.0,22724
1,96,0.061532759308889684,1.0,3.0,0.5627787087790097,27.4,4.4,1.6,21.5,5.0,11.5,861.0,10402.0,8.0,9.0,112.0,128.7,137.7,0.1633466135458167,0.0557768924302788,0.7859649122807018,0.1700680272108843,0.4190871369294605,0.5362318840579711,0.217391304347826,8.0,9.0,18972
